12.474,-6.888,3.170,0.164,-1.767,-3.017
14.080,-6.926,3.170,0.087,-1.764,-2.896
16.235,-6.924,3.050,-0.012,-1.754,-2.696
17.571,-7.341,3.285,-0.052,-1.751,-2.518
19.075,-7.219,3.007,-0.053,-1.779,-2.315
21.050,-6.685,2.531,-0.057,-1.748,-2.016
22.501,-6.218,2.203,-0.079,-1.681,-1.759
23.889,-5.856,1.856,-0.122,-1.571,-1.464
25.745,-5.171,1.276,-0.202,-1.343,-1.011
27.074,-4.604,0.984,-0.271,-1.112,-0.627
28.197,-4.106,0.814,-0.342,-0.848,-0.203
29.188,-3.644,0.766,-0.429,-0.476,0.423
29.542,-3.476,0.675,-0.488,-0.195,0.928
29.552,-3.503,0.567,-0.533,0.083,1.447
29.109,-3.721,0.419,-0.573,0.443,2.132
28.484,-3.876,0.306,-0.587,0.696,2.625
27.636,-3.948,0.239,-0.590,0.934,3.097
26.236,-3.797,0.074,-0.588,1.225,3.692
25.058,-3.539,-0.177,-0.589,1.435,4.116
23.741,-3.170,-0.510,-0.590,1.652,4.518
21.849,-2.650,-0.998,-0.591,1.958,5.024
20.348,-2.301,-1.389,-0.592,2.211,5.380
18.754,-1.956,-1.709,-0.589,2.482,5.714
16.460,-1.453,-2.078,-0.580,2.863,6.125
14.617,-1.030,-2.306,-0.570,3.157,6.405
12.708,-0.630,-2.576,-0.558,3.452,6.657
10.116,-0.204,-2.974,-0.546,3.858,6.947
8.150,-0.053,-3.237,-0.545,4.174,7.128
6.160,-0.026,-3.383,-0.553,4.497,7.273
4.221,-0.053,-3.421,-0.569,4.814,7.379
1.664,-0.196,-3.124,-0.606,5.195,7.464
-0.259,-0.271,-2.749,-0.648,5.411,7.494
-2.193,-0.311,-2.337,-0.703,5.559,7.496
-4.673,-0.448,-1.858,-0.805,5.637,7.455
-6.388,-0.620,-1.638,-0.901,5.612,7.394
-8.358,-0.551,-1.595,-1.049,5.505,7.279
-9.754,-0.761,-1.611,-1.165,5.390,7.178
-11.296,-1.077,-1.468,-1.276,5.241,7.062
-18.881,-3.148,-3.208,-1.547,4.149,6.215
-20.506,-3.601,-3.814,-1.551,3.984,5.958
-22.034,-4.164,-4.322,-1.539,3.849,5.672
-23.904,-4.920,-4.834,-1.501,3.701,5.248
-25.161,-5.430,-5.047,-1.456,3.586,4.901
-26.276,-5.885,-5.150,-1.402,3.451,4.533
-27.524,-6.438,-5.219,-1.320,3.220,4.022
-28.247,-6.797,-5.294,-1.258,3.014,3.627
-28.900,-7.350,-5.289,-1.183,2.701,3.101
-29.322,-7.580,-5.339,-1.132,2.436,2.709
-29.568,-7.863,-5.373,-1.081,2.151,2.304
-29.753,-8.200,-5.370,-0.999,1.718,1.753
-29.762,-8.461,-5.332,-0.920,1.350,1.338
-29.643,-8.679,-5.351,-0.825,0.944,0.934
-29.315,-8.784,-5.648,-0.677,0.383,0.419
-28.912,-8.753,-6.031,-0.557,-0.007,0.053
-28.383,-8.638,-6.457,-0.435,-0.341,-0.298
-27.596,-8.380,-6.941,-0.277,-0.683,-0.741
-26.999,-8.133,-7.238,-0.159,-0.859,-1.052
-26.420,-7.908,-7.487,-0.044,-0.965,-1.339
-25.637,-7.669,-7.664,0.107,-1.006,-1.693
-25.048,-7.539,-7.654,0.215,-0.974,-1.942
-24.189,-7.441,-7.448,0.351,-0.877,-2.256
-23.523,-7.362,-7.120,0.445,-0.787,-2.479
-22.819,-7.271,-6.692,0.533,-0.702,-2.692
-21.833,-7.123,-5.906,0.639,-0.621,-2.956
-18.785,-6.263,-3.553,0.873,-0.726,-3.665
-17.980,-6.005,-3.211,0.907,-0.785,-3.851
-17.394,-5.813,-3.024,0.925,-0.806,-3.988
-16.807,-5.574,-2.859,0.936,-0.804,-4.123
-16.072,-5.241,-2.610,0.947,-0.778,-4.301
-15.553,-4.968,-2.406,0.953,-0.747,-4.431
-15.048,-4.697,-2.253,0.961,-0.711,-4.559
-14.356,-4.389,-2.097,0.978,-0.657,-4.731
-13.779,-4.192,-1.992,0.997,-0.610,-4.861
-13.130,-4.008,-1.863,1.023,-0.557,-4.993
-12.160,-3.852,-1.566,1.071,-0.484,-5.166
-11.344,-3.589,-1.314,1.119,-0.435,-5.293
-10.139,-3.156,-0.915,1.184,-0.374,-5.460
-9.153,-2.875,-0.500,1.230,-0.340,-5.576
-8.104,-2.614,-0.057,1.269,-0.324,-5.679
-6.632,-2.277,0.570,1.309,-0.335,-5.800
-5.492,-2.059,1.041,1.325,-0.375,-5.877
-4.341,-1.884,1.480,1.327,-0.447,-5.941
-2.813,-1.686,1.954,1.308,-0.585,-6.004
-1.676,-1.539,2.174,1.282,-0.714,-6.033
-0.582,-1.405,2.282,1.247,-0.856,-6.046
0.804,-1.202,2.294,1.191,-1.047,-6.040
1.755,-1.032,2.191,1.145,-1.178,-6.017
2.624,-0.874,2.035,1.103,-1.291,-5.978
3.745,-0.711,1.616,1.061,-1.387,-5.903
4.609,-0.690,1.219,1.046,-1.391,-5.833
5.509,-0.735,0.826,1.046,-1.319,-5.755
6.766,-0.845,0.479,1.062,-1.106,-5.641
7.726,-0.927,0.433,1.077,-0.876,-5.547
8.631,-1.006,0.601,1.092,-0.615,-5.447
9.697,-1.022,1.199,1.097,-0.277,-5.300
10.364,-1.013,1.889,1.084,-0.074,-5.185
10.927,-1.034,2.658,1.054,0.063,-5.068
11.626,-1.161,3.634,0.995,0.126,-4.913
14.566,-2.188,5.255,0.682,-0.398,-4.485
15.524,-2.399,5.236,0.592,-0.618,-4.397
16.939,-2.576,4.992,0.466,-0.934,-4.274
